Team,Wins,losses,Lottery,G,MP,FG,FGA,FG3,FG3A,FG2,FG2A,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PPG,Championships,Conference
Detroit Pistons,17,65,0.140,82,241.5,39.6,87.1,11.4,32.4,28.2,54.6,19.8,25.7,11.2,31.3,42.4,23.0,7.0,3.8,15.1,22.1,110.3,3,Eastern
Houston Rockets,22,60,0.140,82,240.9,40.6,88.9,10.4,31.9,30.2,56.9,19.1,25.3,13.4,32.9,46.3,22.4,7.3,4.6,16.2,20.5,110.7,2,Western
San Antonio Spurs,22,60,0.140,82,242.1,43.1,92.6,11.1,32.2,32.0,60.4,15.8,21.2,11.8,31.9,43.7,27.2,7.0,3.9,15.3,19.9,113.0,5,Western
Charlotte Hornets,27,55,0.125,82,241.8,41.3,90.4,10.7,32.5,30.5,57.9,17.6,23.6,11.0,33.5,44.5,25.1,7.7,5.2,14.2,20.3,111.0,0,Eastern
Portland Trail Blazers,33,49,0.105,82,240.6,40.5,85.4,12.9,35.3,27.6,50.1,19.6,24.6,9.4,31.1,40.5,24.2,6.7,4.6,14.5,20.0,113.4,1,Western
Orlando Magic,34,48,0.090,82,241.2,40.5,86.3,10.8,31.1,29.8,55.2,19.6,25.0,10.2,33.1,43.2,23.2,7.4,4.7,15.1,20.1,111.4,0,Eastern
Indiana Pacers,35,47,0.068,82,240.9,42.0,89.6,13.6,37.0,28.4,52.6,18.7,23.7,10.1,31.4,41.5,27.0,7.7,5.8,14.9,21.2,116.3,0,Eastern
Washington Wizards,35,47,0.067,82,240.9,42.1,86.9,11.3,31.7,30.9,55.2,17.6,22.4,9.4,34.2,43.6,25.4,6.8,5.2,14.1,18.8,113.2,1,Eastern
Utah Jazz,37,45,0.045,82,241.5,42.5,89.8,13.3,37.8,29.2,52.0,18.7,23.8,11.8,34.1,45.9,26.0,6.1,5.2,15.4,20.5,117.1,0,Western
Dallas Mavericks,38,44,0.030,82,243.0,40.0,84.3,15.2,41.0,24.8,43.3,19.0,25.1,7.6,31.2,38.8,22.9,6.3,3.7,12.2,20.7,114.2,1,Western
Chicago Bulls,40,42,0.018,82,242.7,42.5,86.8,10.4,28.9,32.1,57.9,17.6,21.8,8.5,33.9,42.4,24.5,7.9,4.5,13.4,18.9,113.1,6,Eastern
Oklahoma City Thunder,40,42,0.017,82,242.1,43.1,92.6,12.1,34.1,31.0,58.5,19.2,23.7,11.4,32.3,43.7,24.2,8.2,4.2,13.0,21.0,117.5,1,Western
Toronto Raptors,41,41,0.010,82,241.5,41.9,91.3,10.7,32.0,31.1,59.3,18.4,23.4,12.7,30.3,43.0,23.9,9.4,5.2,11.7,20.0,112.9,1,Eastern
New Orleans Pelicans,42,40,0.005,82,242.1,42.0,87.6,11.0,30.1,31.1,57.5,19.3,24.4,10.6,33.1,43.7,25.9,8.3,4.1,14.6,20.5,114.4,0,Western
